AlessandroVespignaniDataset
14
1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
phase| 0| 0| 0| 0| 0| 1| 3| 1| 4| 2| 15| 2| 3| 2| 0| 0| 0| 0| 0| 0| 0| 0| 0
process| 0| 5| 3| 2| 0| 1| 0| 2| 1| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
scale| 1| 2| 6| 9| 1| 19| 2| 6| 1| 3| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
point| 0| 0| 2| 3| 1| 4| 4| 5| 3| 0| 2| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
system| 0| 0| 0| 0| 0| 1| 0| 1| 2| 2| 4| 1| 1| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0
field| 0| 0| 0| 0| 0| 3| 0| 0| 3| 0| 6| 0| 0| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0
size| 0| 0| 0| 0| 0| 3| 0| 1| 3| 2| 2| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
fractal| 1| 4| 5| 6| 5| 17| 0| 8| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
growth| 1| 8| 6| 10| 6| 10| 0| 8| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
model| 0| 4| 1| 1| 3| 12| 1| 4| 13| 7| 21| 2| 3| 3| 0| 0| 0| 0| 0| 0| 0| 0| 0
present| 0| 0| 1| 0| 0| 2| 0| 4| 3| 4| 3| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
behavior| 0| 0| 0| 0| 1| 5| 0| 4| 5| 6| 7| 1| 1| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0
class| 0| 0| 0| 1| 0| 0| 0| 1| 1| 1| 7| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
order| 0| 0| 1| 1| 1| 5| 2| 3| 1| 1| 1| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0
